trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,10,-51.83879108738447,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.96}",25,10,-70.73566807413428,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.94}",20,10,-43.65743445917167,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,10,-30.19799165779076,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,10,-34.26934325080209,"{0: 5, 1: 3, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,10,-96.19397563904099,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,10,-149.65317639577265,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,10,-107.9503905557486,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,10,-30.88388049662975,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,2.304896315129199,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,10,-59.747493878942784,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,10,-28.01402808621565,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,10,-28.72722256167653,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,10,-38.287684153992124,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,10,3.820963570581463,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,14,-6.737101949601152,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,10,-111.3351852756418,"{0: 7, 1: 2, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,10,-22.740640257570245,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,11,-39.70949881024379,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,10,-64.7224502374717,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,10,-20.821519880116924,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,10,-94.25241598735346,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,10,-16.079768507161198,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,10,-63.41026221087377,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,10,-18.181134376041225,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,10,-134.37226536666572,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,10,-57.65874206587044,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,10,-42.22848377300001,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,10,-61.099440995317956,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,10,-57.56469310641607,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,10,-63.83228998125231,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
